model,cv_seed,fold,threshold,balanced_accuracy,f1_macro,log_loss,roc_auc,fit_seconds
kanboost_bandpower_inner_global,55,4,0.43,0.9166666666666667,0.9212121212121211,0.4564253569498494,0.9761904761904763,0.5124584000004688
kanboost_bandpower_inner_global,55,5,0.43,0.7738095238095238,0.7692307692307693,0.5574005304135922,0.8095238095238095,0.48836089999895194
kanboost_combined_inner_global,11,1,0.37,0.65,0.6153846153846154,0.6387056452574166,0.75,0.4858825000010256
kanboost_combined_inner_global,11,2,0.45,0.7619047619047619,0.7636363636363637,0.5883262294826876,0.7857142857142858,0.516193999999814
kanboost_combined_inner_global,11,3,0.56,0.6666666666666666,0.6388888888888888,0.6004130652090379,0.7619047619047619,0.4953997000011441
kanboost_combined_inner_global,11,4,0.43,0.7857142857142857,0.7636363636363637,0.5428553045270123,0.7857142857142857,0.47210830000040005
kanboost_combined_inner_global,11,5,0.45,0.7023809523809523,0.6904761904761905,0.5743674078103408,0.7619047619047619,0.48912660000132746
kanboost_combined_inner_global,22,1,0.6,0.55,0.5357142857142857,0.6947432167680745,0.6,0.494303100000252
kanboost_combined_inner_global,22,2,0.38,0.7738095238095238,0.7692307692307693,0.5210749176988689,0.8333333333333333,0.4545241999985592
kanboost_combined_inner_global,22,3,0.45,0.7738095238095238,0.7692307692307693,0.4941452918037524,0.8809523809523809,0.4860482000003685
kanboost_combined_inner_global,22,4,0.36,0.7142857142857143,0.675,0.45362673919374213,0.9761904761904763,0.5343422000005376
kanboost_combined_inner_global,22,5,0.53,0.6666666666666666,0.6388888888888888,0.5298218438415524,0.8333333333333334,0.48691859999962617
kanboost_combined_inner_global,33,1,0.45,0.675,0.675,0.5721377488110294,0.725,0.504511499999353
kanboost_combined_inner_global,33,2,0.44,0.6190476190476191,0.6153846153846154,0.5556905310760084,0.7857142857142857,0.5061859000015829
kanboost_combined_inner_global,33,3,0.43,0.6785714285714286,0.675,0.5608823539412569,0.7619047619047619,0.5023521000002802
kanboost_combined_inner_global,33,4,0.44,0.7738095238095238,0.7692307692307693,0.6124295752617617,0.7619047619047619,0.5102389000021503
kanboost_combined_inner_global,33,5,0.46,0.7857142857142857,0.7636363636363637,0.5199508026219607,0.7619047619047619,0.5045470999975805
kanboost_combined_inner_global,44,1,0.41,0.7125,0.6904761904761905,0.48408716288898285,0.85,0.480071300000418
kanboost_combined_inner_global,44,2,0.35,0.7738095238095238,0.7692307692307693,0.4879773700185857,0.8809523809523809,0.4916166000002704
kanboost_combined_inner_global,44,3,0.5,0.6785714285714286,0.675,0.5663037489676458,0.8333333333333333,0.4902275999993435
kanboost_combined_inner_global,44,4,0.49,0.7619047619047619,0.7636363636363637,0.49148816330657014,0.9285714285714286,0.5229832000004535
kanboost_combined_inner_global,44,5,0.6,0.44047619047619047,0.40522875816993464,0.7257672006603999,0.6190476190476191,0.5073067999983323
kanboost_combined_inner_global,55,1,0.41,0.6875,0.606060606060606,0.5893838543051658,0.95,0.48387430000002496
kanboost_combined_inner_global,55,2,0.35,0.5595238095238095,0.5125,0.6018278424778537,0.7380952380952381,0.4865934000008565
kanboost_combined_inner_global,55,3,0.41,0.6904761904761905,0.6904761904761905,0.5979176522438275,0.7142857142857142,0.49730970000018715
kanboost_combined_inner_global,55,4,0.44,0.8333333333333333,0.8375,0.49201675613604695,0.9761904761904763,0.5045022000012978
kanboost_combined_inner_global,55,5,0.5,0.7619047619047619,0.7636363636363637,0.5519995475905115,0.8095238095238095,0.5104298000005656
